CAP1	CAP2	taxa	indic	kingdom	phylum	class	order	family	genus	pos	species	surface	chair.ra	desk.ra	wall.ra	floor.ra
New.ReferenceOTU182	0.118810049688068	-0.0176692418981403	Rothia	0.001	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	1	mucilaginosa	desk	0.000373724489795918	0.00122111111111111	0.000234444444444444	9.56632653061224e-05
New.ReferenceOTU194	0.117407731398055	-0.00351458416874531	Neisseria	0.001	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	1	subflava	desk	6.88775510204082e-05	0.00129	2.55555555555556e-05	0.000142857142857143
New.ReferenceOTU164	0.0790085362646461	-0.0116305194335392	NA	0.001	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	NA	1	NA	desk	9.18367346938776e-05	0.000831111111111111	7.77777777777778e-05	4.59183673469388e-05
New.ReferenceOTU20	0.0717944951122423	-0.00433630490722386	NA	0.001	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	NA	1	NA	desk	0.000163265306122449	0.000734444444444444	7.11111111111111e-05	6.12244897959184e-05
New.ReferenceOTU31	0.0666584213737379	-0.0100517378353132	Veillonella	0.001	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	1	dispar	desk	6.12244897959184e-05	0.000684444444444444	5.11111111111111e-05	2.04081632653061e-05
New.ReferenceOTU243	0.0495871087509514	-0.00636777740588563	Gemella	0.001	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella	1	-	desk	6.25e-05	0.000514444444444444	4.33333333333333e-05	2.67857142857143e-05
New.ReferenceOTU199	0.000941455936091465	-0.0461082345193677	Cupriavidus	0.001	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Cupriavidus	1	-	desk	6.12244897959184e-05	0.000226666666666667	0.000377777777777778	5.10204081632653e-05
New.ReferenceOTU174	-0.0181462440486072	-0.56765564313748	Alicyclobacillus	0.001	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	1	-	wall	0.000538265306122449	0.00195555555555556	0.00433	0.000119897959183673
New.ReferenceOTU70	-0.231771416767822	-0.100372504491816	NA	0.025	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	1	NA	wall	0.000735969387755102	0.00083	0.00242222222222222	0.00240178571428571
New.ReferenceOTU137	-0.239645019445743	-0.0426798596332939	-	0.158	Bacteria	Cyanobacteria	Oscillatoriophycideae	Chroococcales	Xenococcaceae	-	1	-	wall	0.00119770408163265	0.000691111111111111	0.00233555555555556	0.00263010204081633
New.ReferenceOTU67	-0.0933246092306033	-0.175082001355764	NA	0.001	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA	1	NA	wall	0.000848214285714286	0.00120777777777778	0.00238333333333333	0.00139668367346939
New.ReferenceOTU215	-0.0896593832846254	-0.0997016495835567	Rubellimicrobium	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	1	-	wall	0.000332908163265306	0.000295555555555556	0.00128888888888889	0.000727040816326531
New.ReferenceOTU142	-0.0125466809874733	-0.132899966937522	-	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	-	1	-	wall	0.000168367346938776	0.000467777777777778	0.00108111111111111	0.000112244897959184
New.ReferenceOTU190	-0.100004549868406	-0.0792627388565909	Truepera	0.004	Bacteria	[Thermi]	Deinococci	Deinococcales	Trueperaceae	Truepera	1	-	wall	0.000260204081632653	0.000213333333333333	0.00115222222222222	0.000789540816326531
New.ReferenceOTU138	-0.123491433356892	-0.0248071828824116	Pseudomonas	0.092	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	1	-	wall	0.000423469387755102	0.00123444444444444	0.00147888888888889	0.00204081632653061
New.ReferenceOTU180	-0.0938365160090822	-0.0591002886844262	-	0.055	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	-	1	-	wall	0.00105739795918367	0.000451111111111111	0.00154444444444444	0.00117602040816327
New.ReferenceOTU214	-0.082785095136927	-0.0693176220257193	NA	0.001	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	NA	1	NA	wall	0.000604591836734694	0.000385555555555556	0.00127333333333333	0.000901785714285714
New.ReferenceOTU173	-0.443004609915279	0.325984871778649	-	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	-	1	-	floor	0.000497448979591837	0.000631111111111111	0.000876666666666667	0.00521811224489796
New.ReferenceOTU15	-0.357104881456614	0.306574901473644	-	0.001	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	-	1	-	floor	0.00038265306122449	0.00054	0.000467777777777778	0.00436607142857143
New.ReferenceOTU149	-0.269180171094197	0.229241596214498	Stenotrophomonas	0.001	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	1	NA	floor	0.000127551020408163	0.000221111111111111	0.000197777777777778	0.00309438775510204
New.ReferenceOTU139	-0.0125750345079729	0.194336590328804	NA	0.035	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	NA	1	NA	floor	0.00223214285714286	0.00264222222222222	0.00130333333333333	0.00341198979591837
New.ReferenceOTU84	-0.0780717342806866	0.0718155299154215	Bifidobacterium	0.466	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	1	-	floor	4.08163265306122e-05	1.33333333333333e-05	8.88888888888889e-06	0.000872448979591837
New.ReferenceOTU158	-0.0584569834281374	0.0520923732272466	Janthinobacterium	0.001	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	1	-	floor	8.03571428571429e-05	5.33333333333333e-05	6.11111111111111e-05	0.00069515306122449
New.CleanUp.ReferenceOTU271	-0.0336116721543737	0.0325304597986723	-	0.702	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	-	1	-	floor	3.8265306122449e-05	2.55555555555556e-05	1.44444444444444e-05	0.000401785714285714
New.ReferenceOTU123	-0.0381242896153227	0.0229265871707542	NA	0.063	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Kineosporiaceae	NA	1	NA	floor	0.00121683673469388	0.000502222222222222	0.00093	0.00106377551020408
New.ReferenceOTU52	-0.0295398708714887	0.0227246834377939	Novosphingobium	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	1	-	floor	2.29591836734694e-05	3.22222222222222e-05	4.33333333333333e-05	0.000340561224489796
New.ReferenceOTU193	-0.00354623954004726	0.0309730245079689	Rathayibacter	0.142	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Rathayibacter	1	caricis	floor	0.0005625	0.000706666666666667	0.000446666666666667	0.000840561224489796
